type,metadata_name,metadata_description,enum_fields
master_agreement,actual_spend_agreement_currency,The actual spend in agreement currency.,"CAD, EUR, USD, INR"
master_agreement,actual_spend_usd,"The actual spend in USD. Provide as a string, numbers only, no currency symbols.",
master_agreement,affiliate_assignment,"Affiliate assignment with/without consent; mutual/one-way (e.g., corp internal restructure). If not specified, return """".",
master_agreement,agreement_currency,The currency of the contract.,"CAD, EUR, USD, INR"
master_agreement,agreement_name,The name of the agreement as stated in the contract.,
master_agreement,agreement_title,The title of the agreement as stated in the contract.,
master_agreement,company_notice_contact_address,"The full address for company notice contact, including street, city, state/province, and country if available.",
master_agreement,company_notice_contact_email,The email address for company notice contact.,
master_agreement,company_notice_contact_name,The full name of the company notice contact person.,
master_agreement,contract_category,The contract category.,"Construction & Maintenance Services, Corporate Communications, Corporate Services, Engineering & Design Services, Fabrication & Materials, Gases, Lubricants and Oils, Human Resources, Information Technology, MRO Supplies & Services, Process Automation, Professional Services, Property Services, Real Estate, Research and Technology, Responsible Care, Rotating Equipment, Travel, Water Treatment and Packaging"
master_agreement,contract_owner,The name or title of the contract owner within the corporation.,
master_agreement,counterparty_legal_entity_name,The legal entity name of the counterparty as stated in the contract.,
master_agreement,counterparty_notice_contact_address,"The full address for counterparty notice contact, including street, city, state/province, and country if available.",
master_agreement,counterparty_notice_contact_email,The email address for counterparty notice contact.,
master_agreement,counterparty_notice_contact_name,The full name of the counterparty notice contact person.,
master_agreement,counterparty_number,"Counterparty number (e.g., SAP vendor number). Provide as a string.",
master_agreement,does_corp_have_option_to_extend,"Does the corporation have the option to extend the contract? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,effective_date,The effective date of the contract in YYYY-MM-DD format if available.,
master_agreement,estimated_contract_value_agreement_currency,"Estimated contract value in agreement currency. Provide as a string, numbers only, no currency symbols.",
master_agreement,estimated_contract_value_usd,"Estimated contract value in USD. Provide as a string, numbers only, no currency symbols.",
master_agreement,exchange_rate_to_usd,The exchange rate to USD as stated in the contract. Provide as a string.,
master_agreement,expiry_date,The expiry date of the contract in YYYY-MM-DD format if available.,
master_agreement,functional_unit,The functional unit or department responsible for the contract.,
master_agreement,is_change_of_control_clause,"Is there a change of control clause? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,is_non_solicitation_or_non_competition,"Is there a non-solicitation or non_competition agreement? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,is_corp_guarantee,"Is there a corporate guarantee? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,is_corp_indemnity_third_party,"Is there a corporate indemnity of a third party? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,is_termination_for_convenience,"Is there a termination for convenience clause? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,is_volume_rebate,"Is there a volume rebate? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,is_lease,"Is this contract a lease? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,is_material_contract,"Is this a material contract? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,is_evergreen_agreement,"Is this an evergreen agreement? Return ""Yes"", ""No"", or """" if not specified.",
master_agreement,corp_legal_entity_name,The legal entity name of the corporation as stated in the contract.,
master_agreement,corp_site_location,The site location of the corporation as stated in the contract.,
master_agreement,payment_terms,"The payment terms as stated in the contract (e.g., ""Net 30 days"").",
master_agreement,project_number,"The project number associated with the contract, if available.",
master_agreement,renewal_notice_period,"The renewal notice period as stated in the contract (e.g., ""60 days"").",
master_agreement,sap_outline_agreement_number,"The SAP outline agreement number, if available.",
master_agreement,third_party_assignment,"Third party assignment with/without consent; mutual/one-way (e.g., sale of asset). If not specified, return """".",
master_agreement,volume_rebate_payment_date,"The payment date for volume rebate, if specified, in YYYY-MM-DD format.",
amendment,parent_agreement_name,filename of the master agreement the amendment is amending,
amendment,amendment_effective_date,"the effective date of the amendment document, not the master agreement (if available )",
amendment,amendment_expiry_date,"the expiry date of the amendment document, not the master agreement (if available )",
amendment,renewal_notice_period_days,the amendment renewal notice period in days (if available ),
amendment,estimated_contract_aggregate_value,amendment contract value (if available),
amendment,payment_term,"if the document amends the original payment term of the master agreement, this is the new payment term",
amendment,amendment_number,"some master agreements have multiple amendments. this is the number pertaining to the order (for example, if there are 5 amendments, and this document is the 3rd, then the amendment number is 3)",
amendment,agreement_counterparty_term,how is the counterparty described in the main agreement?,"Consultant, Supplier, Seller, Contractor, Company"
amendment,amendment_details,"what is being amended from the master agreement (expiry date, payment term, rates, clauses, etc.)",
